,terms,csu_queries,csu_ctr,csu_find,nocsu_queries,nocsu_ctr,nocsu_find
639,body encaje,45.0,38.0,35.0,42.0,15.0,14.0
720,blonda,45.0,12.0,11.0,40.0,13.0,12.0
734,blusa panel volantes,45.0,42.0,34.0,13.0,13.0,12.0
724,sleeves,44.0,24.0,22.0,33.0,12.0,6.0
740,jeans uptown,44.0,29.0,27.0,13.0,12.0,12.0
565,pichipan,44.0,36.0,33.0,7.0,3.0,3.0
704,top helen,44.0,16.0,15.0,6.0,5.0,5.0
634,marta,44.0,29.0,27.0,5.0,4.0,4.0
603,binger,44.0,26.0,25.0,4.0,4.0,4.0
571,jeans campana,43.0,3.0,3.0,35.0,4.0,4.0
670,pantalon beige,43.0,10.0,10.0,28.0,5.0,5.0
679,jeans relaxed,43.0,25.0,23.0,22.0,5.0,5.0
578,pantalon lunares,43.0,31.0,29.0,19.0,4.0,4.0
690,japo,43.0,31.0,29.0,11.0,11.0,11.0
584,americana time,43.0,14.0,13.0,7.0,7.0,7.0
708,grenwich,43.0,31.0,29.0,6.0,5.0,5.0
712,water resistant,43.0,25.0,24.0,6.0,5.0,5.0
663,vic,43.0,32.0,26.0,5.0,5.0,5.0
609,peacoat,42.0,35.0,33.0,48.0,25.0,24.0
669,jersey terminaciones canale,42.0,31.0,24.0,33.0,5.0,5.0
726,blusa satinada,42.0,18.0,16.0,20.0,12.0,12.0
689,parka party1,42.0,26.0,24.0,11.0,5.0,5.0
705,lima,42.0,45.0,37.0,5.0,5.0,5.0
667,pantalon volante,41.0,20.0,18.0,38.0,5.0,5.0
672,unico,41.0,33.0,32.0,26.0,15.0,15.0
616,americana mujer,41.0,16.0,11.0,25.0,12.0,12.0
727,kling,41.0,23.0,21.0,19.0,12.0,12.0
684,alicia,41.0,15.0,14.0,16.0,5.0,5.0
776,ponte,41.0,32.0,30.0,14.0,7.0,7.0
687,jeans biker,41.0,14.0,13.0,11.0,5.0,5.0
666,abrigo woolperk,41.0,4.0,4.0,5.0,4.0,4.0
710,moon,41.0,24.0,23.0,5.0,5.0,5.0
652,laguna,40.0,17.0,15.0,13.0,9.0,9.0
631,blusa fluida textura,40.0,15.0,14.0,9.0,4.0,4.0
583,cordi,40.0,20.0,18.0,7.0,7.0,7.0
718,jersey hombros,39.0,33.0,25.0,36.0,17.0,17.0
766,boho,39.0,26.0,23.0,28.0,7.0,7.0
771,vestido tartan,39.0,6.0,6.0,20.0,6.0,6.0
731,apple,39.0,37.0,35.0,18.0,5.0,6.0
732,bikers,39.0,21.0,15.0,17.0,11.0,5.0
790,brush,39.0,12.0,11.0,7.0,6.0,6.0
697,kylo,39.0,28.0,26.0,5.0,5.0,5.0
636,vestido selva,39.0,11.0,10.0,4.0,4.0,4.0
758,pantalon pitillo,38.0,19.0,17.0,60.0,19.0,19.0
767,fluffy,38.0,12.0,11.0,27.0,13.0,12.0
648,katia,38.0,12.0,11.0,18.0,17.0,16.0
717,lovelace,37.0,21.0,19.0,34.0,11.0,10.0
673,falda serraje,37.0,4.0,4.0,24.0,14.0,14.0
614,faldas cuadros,37.0,18.0,17.0,23.0,7.0,7.0
769,jersey punto azul,37.0,30.0,6.0,19.0,6.0,6.0
773,abullonado,37.0,35.0,32.0,19.0,6.0,6.0
619,vestido floral cuadros,37.0,18.0,17.0,16.0,11.0,7.0
695,top acabado brillante,37.0,23.0,21.0,10.0,9.0,9.0
786,kleinpic,37.0,24.0,22.0,7.0,6.0,6.0
788,gala,37.0,11.0,11.0,6.0,6.0,6.0
709,comfy,37.0,17.0,16.0,5.0,5.0,4.0
633,pata,37.0,14.0,13.0,4.0,4.0,4.0
662,jersey trenzado,37.0,44.0,33.0,4.0,4.0,4.0
665,pichi bolsillos,37.0,28.0,26.0,4.0,4.0,4.0
756,cuello pico,36.0,6.0,5.0,84.0,6.0,6.0
761,abrigo jaspeado,36.0,22.0,21.0,44.0,36.0,34.0
722,jeans bordado,36.0,19.0,9.0,27.0,10.0,10.0
646,pantalon eyelets,36.0,20.0,18.0,17.0,4.0,4.0
728,stina,36.0,15.0,14.0,16.0,10.0,11.0
733,camisa manga larga,36.0,20.0,19.0,16.0,11.0,5.0
774,americanas terciopelo,36.0,17.0,16.0,12.0,6.0,6.0
779,camisa retro,36.0,23.0,21.0,12.0,6.0,6.0
660,jeans alex,36.0,31.0,28.0,8.0,8.0,8.0
700,plumetti,36.0,13.0,12.0,5.0,4.0,4.0
748,beatrice,36.0,35.0,32.0,5.0,5.0,5.0
635,blusa fawcet,36.0,28.0,26.0,4.0,4.0,4.0
716,falda volante bajo,35.0,15.0,13.0,47.0,20.0,19.0
792,camiseta moulin,35.0,6.0,5.0,6.0,6.0,6.0
640,bordados,34.0,14.0,7.0,31.0,11.0,8.0
668,blusa lazo cuello,34.0,25.0,15.0,27.0,4.0,4.0
764,vestido fruncido lentejuelas,34.0,27.0,25.0,24.0,12.0,11.0
796,jean noa,33.0,25.0,24.0,98.0,33.0,33.0
719,chaqueton pelo,33.0,9.0,8.0,29.0,18.0,19.0
800,abrigo cristi,33.0,19.0,18.0,28.0,7.0,6.0
802,zapatos rojos,33.0,13.0,12.0,27.0,7.0,7.0
804,paper,33.0,6.0,6.0,27.0,6.0,6.0
723,mike,33.0,19.0,17.0,25.0,5.0,5.0
725,pantalon camel,33.0,5.0,4.0,20.0,5.0,5.0
647,himalaya,33.0,21.0,19.0,15.0,7.0,7.0
829,horizon,33.0,6.0,6.0,14.0,7.0,6.0
783,belle encerados,33.0,16.0,15.0,12.0,11.0,11.0
676,jersey de pico,32.0,4.0,4.0,21.0,4.0,4.0
805,chop,32.0,18.0,17.0,20.0,19.0,19.0
729,tomy,32.0,27.0,24.0,14.0,9.0,9.0
653,hebilla,32.0,7.0,6.0,11.0,4.0,3.0
781,vestido fucsia,32.0,11.0,5.0,11.0,6.0,5.0
737,havana,32.0,22.0,20.0,9.0,5.0,4.0
696,mono encaje hilo metalico,32.0,20.0,18.0,8.0,4.0,4.0
842,bon,32.0,19.0,17.0,7.0,6.0,6.0
789,falda cuadrod,32.0,11.0,10.0,6.0,6.0,5.0
754,americana de terciopelo,32.0,5.0,4.0,5.0,5.0,4.0
763,punk,31.0,24.0,22.0,26.0,20.0,20.0
808,pepe,31.0,18.0,17.0,20.0,13.0,13.0
815,cazadora rosa,31.0,17.0,16.0,19.0,6.0,6.0
655,abrigo sandy,31.0,3.0,3.0,11.0,3.0,3.0
830,suecia,31.0,29.0,27.0,6.0,6.0,6.0
833,blanglong,31.0,30.0,28.0,6.0,6.0,6.0
755,berry,31.0,4.0,4.0,5.0,5.0,4.0
762,blazer mujer,30.0,14.0,4.0,30.0,15.0,15.0
798,jersey contraste,30.0,17.0,16.0,25.0,6.0,6.0
799,vestido diane,30.0,11.0,11.0,25.0,12.0,11.0
682,paty1,30.0,7.0,7.0,12.0,4.0,4.0
837,vestido brigitte,30.0,17.0,16.0,6.0,6.0,6.0
699,aroc,30.0,28.0,26.0,4.0,4.0,4.0
714,solidaria,29.0,20.0,18.0,60.0,8.0,8.0
797,pantalon cuadros mujer,29.0,5.0,5.0,49.0,12.0,12.0
814,vestido manga corta,29.0,23.0,10.0,18.0,12.0,6.0
685,sport,29.0,13.0,9.0,11.0,7.0,7.0
707,leti,29.0,14.0,13.0,4.0,4.0,4.0
812,saturn,28.0,16.0,15.0,17.0,11.0,11.0
838,mamita,28.0,21.0,20.0,6.0,6.0,6.0
839,vestido verde oscuro,28.0,11.0,10.0,6.0,6.0,5.0
794,pantalon berto,28.0,18.0,16.0,5.0,5.0,5.0
807,vestido kaki,27.0,10.0,9.0,16.0,11.0,10.0
823,bolso tebas,27.0,21.0,19.0,11.0,5.0,5.0
875,jersey rojo pico,27.0,6.0,6.0,7.0,7.0,6.0
885,cosy,27.0,13.0,12.0,7.0,7.0,6.0
793,vinty,27.0,13.0,8.0,5.0,4.0,4.0
819,sam,26.0,15.0,14.0,11.0,5.0,5.0
735,dream,26.0,13.0,13.0,8.0,4.0,3.0
863,canton,26.0,19.0,17.0,7.0,7.0,6.0
787,jersey luxyn,26.0,13.0,12.0,5.0,4.0,4.0
836,portree,26.0,15.0,14.0,5.0,5.0,5.0
791,tan,26.0,24.0,22.0,4.0,4.0,4.0
846,vestido verde terciopelo,25.0,12.0,11.0,39.0,6.0,6.0
803,moscu,25.0,19.0,18.0,21.0,10.0,10.0
810,capa abrigo,25.0,24.0,22.0,15.0,15.0,14.0
855,jersey meteor,25.0,12.0,11.0,13.0,6.0,6.0
880,pantalon pinzas terciopelo,25.0,18.0,16.0,6.0,6.0,6.0
745,office,25.0,10.0,10.0,4.0,4.0,3.0
759,pantalon candela,24.0,23.0,21.0,34.0,12.0,12.0
801,julia,24.0,19.0,17.0,20.0,5.0,5.0
811,jersey botones,24.0,14.0,12.0,14.0,5.0,4.0
860,bolso gris,24.0,6.0,5.0,13.0,6.0,6.0
853,bailarina negra,24.0,6.0,5.0,12.0,6.0,6.0
782,vestido terciopelo verde,24.0,4.0,4.0,8.0,4.0,4.0
876,eleven,24.0,6.0,6.0,7.0,6.0,6.0
871,bart,24.0,17.0,16.0,6.0,6.0,6.0
884,botin sock,24.0,18.0,16.0,6.0,6.0,6.0
886,ingles,24.0,17.0,16.0,6.0,6.0,6.0
889,cuadros rojo,24.0,17.0,16.0,6.0,6.0,6.0
746,charlot,24.0,20.0,18.0,4.0,3.0,3.0
765,abrigo reversible,23.0,11.0,10.0,16.0,4.0,4.0
770,jeans skinny paty,23.0,11.0,10.0,12.0,8.0,8.0
820,jeans electra,23.0,14.0,12.0,10.0,9.0,9.0
822,green,23.0,5.0,4.0,10.0,5.0,5.0
778,blazer azul,23.0,22.0,21.0,8.0,4.0,4.0
866,blacky,23.0,11.0,10.0,6.0,6.0,6.0
873,pantalones amarillos,23.0,16.0,15.0,6.0,6.0,5.0
795,aldo,23.0,11.0,10.0,4.0,4.0,4.0
849,oddero,22.0,21.0,20.0,17.0,5.0,5.0
775,vanesa,22.0,14.0,13.0,8.0,4.0,4.0
780,vestido ante,22.0,10.0,10.0,7.0,4.0,3.0
864,gross,22.0,21.0,20.0,6.0,5.0,5.0
843,jerey lila,22.0,17.0,16.0,5.0,4.0,4.0
