,total_queries,ctr,zero_resulto_rate,keywords,lang
1755,1066.0,6.33116883117,86.525974026,out,English
449,1062.0,59.2827004219,8.96202531646,biker,Spanish
1071,1059.0,9.67498110355,80.0453514739,fabric,English
1434,1050.0,37.550040032,84.067253803,knitted,English
880,1046.0,16.1179287638,15.6539958096,cortas,Spanish
2538,1041.0,55.7091346154,10.4266826923,vaquera,Spanish
383,1022.0,22.4223602484,63.4782608696,bamba,Spanish
1299,1022.0,28.3460718095,4.54141485958,hoodie,English
322,1020.0,0.0,100.0,anchos,Spanish
2279,1019.0,41.5734745929,19.9921522464,sport,Spanish
2184,1019.0,29.7716664564,12.8548000505,short,Spanish
1566,1008.0,16.3921568627,79.0588235294,maxi,English
443,1006.0,7.10616438356,86.1301369863,best,Spanish
1585,1004.0,35.2659778033,19.211634137,mesh,English
464,1003.0,40.0434165484,8.37438423645,blanco,Spanish
1142,1002.0,32.7261105785,32.0230105465,for,English
1469,999.0,17.8117048346,84.7328244275,lazos,Spanish
1953,994.0,20.2678027998,60.4990870359,plush,English
836,992.0,36.0299625468,37.1535580524,collar,English
477,986.0,0.0,100.0,blonde,English
1276,984.0,5.43024227235,82.2055137845,hight,English
1615,981.0,41.5141430948,27.2046589018,mini,English
1849,973.0,11.4533965245,76.8562401264,patch,English
2540,968.0,25.2916356416,12.0129064284,vaquero,Spanish
2301,962.0,16.8741355463,66.5283540802,stretch,English
1109,961.0,26.949241235,50.2878074307,fitted,English
275,957.0,23.8855622089,63.6726546906,acdc,Spanish
1090,955.0,32.8483491886,26.720761052,felpa,Spanish
1957,954.0,15.5971479501,85.0267379679,pockets,English
2472,949.0,5.6278280543,26.8382352941,trajes,Spanish
1750,949.0,0.0,100.0,oriental,English
732,942.0,56.113760218,5.34741144414,chaleco,Spanish
2457,942.0,38.4122163165,7.94735509997,tops,Spanish
2529,942.0,0.0,100.0,unicornio,Spanish
1237,938.0,45.7355816227,11.4613880743,gris,Spanish
2055,938.0,72.6443768997,15.8392434988,rejilla,Spanish
2074,936.0,29.7169405489,8.05299836531,ripped,English
993,929.0,56.0933448574,40.14693172,doble,Spanish
1269,928.0,12.629070691,73.7092930898,heeled,English
2442,926.0,29.218328841,49.9191374663,tiras,Spanish
468,916.0,56.9277108434,12.5410733844,blazer,English
1898,916.0,0.0,100.0,pijama,Spanish
1580,914.0,36.0147942672,42.2561257513,mensaje,Spanish
1173,913.0,0.0,100.0,full,English
822,912.0,21.4462443397,4.25750431819,coats,English
1602,912.0,68.6502659574,30.3191489362,mickey,English
1658,910.0,43.7923250564,68.4725357412,mouse,Spanish
364,906.0,39.3591501028,15.5243317341,backpack,English
1616,899.0,67.2912205567,24.0631691649,mini,Spanish
1694,899.0,14.9819494585,81.1371841155,neopreno,Spanish
869,899.0,11.9170984456,66.5433012583,cord,English
1130,897.0,5.28488852188,74.0710156895,flowers,English
2409,894.0,31.8312092201,2.72577596195,tenis,Spanish
2369,894.0,14.6718146718,86.2934362934,tachas,Spanish
1079,889.0,46.3361385964,3.13039191521,faldas,Spanish
1609,888.0,40.9274193548,35.8064516129,midi,English
2503,886.0,0.0,100.0,tubo,Spanish
1724,879.0,49.5342929721,37.2142252329,nylon,Spanish
2634,878.0,32.3430592396,15.5260831123,zapato,Spanish
2443,876.0,47.706307654,10.9199700823,tiro,Spanish
2332,876.0,23.5618597321,69.0307328605,suit,English
252,874.0,37.9665837185,31.0700319943,a,Spanish
301,873.0,47.2575691093,38.3062746819,ajustado,Spanish
2581,870.0,42.0579603815,15.9574468085,waist,Spanish
2028,869.0,35.1566384883,43.212332173,quilted,English
2208,869.0,16.5633608815,29.9242424242,sin,Spanish
524,868.0,44.1362530414,14.0794809408,bolso,Spanish
